"artist","song","won_grammy","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_sec","weeks_on_chart","peak_position","started_charting","charted_q1","charted_q2","charted_q3","charted_q4"
"Monica","So Gone","No",FALSE,0.618,0.552,8,-6.863,"1",0.0981,0.176,0,0.252,0.586,81.975,"4",242.773,22,10,2003,FALSE,TRUE,TRUE,FALSE
"Monica","U Should've Known Better","No",FALSE,0.753,0.516,6,-5.164,"1",0.0308,0.191,0,0.275,0.826,122.019,"4",257.787,20,19,2004,FALSE,TRUE,TRUE,TRUE
"Monica","Knock Knock","No",FALSE,0.777,0.588,10,-8.651,"1",0.373,0.414,4.79e-05,0.146,0.54,88.915,"4",257.653,18,75,2003,TRUE,FALSE,TRUE,TRUE
"StaySolidRocky","Party Girl","No",FALSE,0.729,0.431,6,-9.867,"0",0.0643,0.746,0,0.0994,0.621,130.087,"4",147.8,20,21,2020,FALSE,TRUE,TRUE,FALSE
"Jeannie Seely","Don't Touch Me","No",FALSE,0.375,0.53,2,-5.739,"1",0.0263,0.4,0.000293,0.307,0.205,69.762,"3",204.848,5,85,1966,FALSE,TRUE,FALSE,FALSE
"Blac Youngsta","Booty","No",TRUE,0.938,0.549,1,-8.368,"1",0.098,0.000831,0.000243,0.082,0.412,144.005,"4",160.038,5,73,2018,TRUE,TRUE,FALSE,FALSE
"Christopher Cross","Charm the Snake","No",FALSE,0.527,0.733,9,-12.556,"1",0.0381,0.0364,0.00263,0.458,0.648,171.441,"4",267.04,5,68,1985,FALSE,FALSE,FALSE,TRUE
"Christopher Cross","No Time for Talk","No",FALSE,0.641,0.642,9,-10.507,"1",0.0442,0.178,4.62e-05,0.0667,0.57,98.949,"4",264,10,33,1983,FALSE,TRUE,TRUE,FALSE
"Christopher Cross","Think of Laura","No",FALSE,0.645,0.211,11,-12.73,"1",0.0257,0.822,9.19e-06,0.138,0.174,86.121,"4",206.64,17,9,1983,TRUE,FALSE,FALSE,TRUE
"Christopher Cross","All Right","No",FALSE,0.711,0.647,6,-5.225,"0",0.0353,0.17,0,0.234,0.504,132.752,"4",253.653,16,12,1983,TRUE,TRUE,FALSE,FALSE
"Christopher Cross","Say You'll Be Mine","No",FALSE,0.749,0.816,4,-9.519,"1",0.0377,0.154,0.00501,0.247,0.849,128.823,"4",176.493,14,20,1981,TRUE,TRUE,FALSE,FALSE
"Christopher Cross","Never Be the Same","No",FALSE,0.758,0.669,9,-9.501,"1",0.033,0.28,7.49e-05,0.5,0.831,125.263,"4",249.733,19,15,1980,TRUE,FALSE,FALSE,TRUE
"Black Sheep","The Choice Is Yours","No",FALSE,0.798,0.546,10,-12.841,"0",0.129,0.0316,0.817,0.135,0.189,101.354,"4",248.827,19,57,1992,TRUE,TRUE,TRUE,FALSE
"Black Sheep","Strobelite Honey","No",FALSE,0.839,0.836,6,-9.802,"0",0.098,0.0139,0.783,0.135,0.669,115.035,"4",189.933,8,80,1992,FALSE,FALSE,TRUE,FALSE
